Κατασκευαστής,Τύπος,Εγγραφή,Ηλικία,Καύσιμο,Μετάδοση,Κυβικά,Ιπποδύναμη,Χιλιόμετρα,Κατάσταση,Περιοχή,Τιμή
Audi,Q3,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,150.0,10500.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,34900.0
Toyota,Yaris Cross,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,10018.0,Μεταχειρισμένο,ΝΕΑ ΙΩΝΙΑ 14235,25990.0
Peugeot,2008,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,3000.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14562,26500.0
Peugeot,2008,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,2900.0,Μεταχειρισμένο,ΝΕΑ ΕΡΥΘΡΑΙA 14671,26500.0
Beev,ΒEEV-6,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,4.0,0.0,Καινούργιο,ΓΛΥΚΑ ΝΕΡΑ 15354,10900.0
Beev,ΒEEV-5,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,5.0,1.0,Καινούργιο,ΓΛΥΚΑ ΝΕΡΑ 15354,8250.0
Opel,Grandland (X),2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,6900.0,Μεταχειρισμένο,ΑΘΗΝΑ 11143,34900.0
Mercedes-Benz,E 300,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,313.0,17100.0,Μεταχειρισμένο,ΠΑΛΛΗΝΗ 15351,75000.0
Peugeot,5008,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,145.0,10.0,Καινούργιο,ΑΛΙΜΟΣ 17455,42990.0
BMW,X1,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,245.0,165.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17455,63490.0
MG,HS,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,272.0,3905.0,Μεταχειρισμένο,ΑΙΓΑΛΕΩ 12242,34900.0
Citroen,C3,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,20000.0,Μεταχειρισμένο,ΧΑΛΑΝΔΡΙ 15231,17000.0
Mazda,2 Hybrid,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,10900.0,Μεταχειρισμένο,ΣΠΑΤΑ 19004,19100.0
MG,EHS,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,275.0,5800.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14564,31000.0
Renault,Captur,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,10800.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,23500.0
Dacia,Bigster,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,155.0,7500.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,29900.0
Renault,R 5,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,147.0,11000.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,29900.0
Aixam,Scouty R,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,8.0,180.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,8500.0
Renault,Clio,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,10100.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,19300.0
BMW,X2,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,170.0,14000.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15123,43500.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,14800.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,18200.0
MG,ZS,2025.0,1.0,Βενζίνη,Χειροκίνητο,1500.0,105.0,13500.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,16500.0
Jeep,Avenger,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,8000.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16452,20500.0
Citroen,C5 Aircross,2025.0,1.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,2300.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16674,29000.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,2700.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,19400.0
Mercedes-Benz,GLA 200,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1300.0,163.0,13300.0,Μεταχειρισμένο,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15343,45500.0
Chery,Τiggo 7,2025.0,1.0,Βενζίνη,Αυτόματο,1600.0,147.0,3000.0,Μεταχειρισμένο,ΝΕΟ ΗΡΑΚΛΕΙΟ 14122,24999.0
Hyundai,Bayon,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,87.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,20340.0
Hyundai,Kona,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,120.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,24290.0
Suzuki,Vitara,2025.0,1.0,Υβριδικό Βενζίνης,Χειροκίνητο,1400.0,110.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,20580.0
Hyundai,Tucson,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1600.0,160.0,3000.0,Μεταχειρισμένο,ΕΛΕΥΣΙΝΑ 19200,34000.0
Hyundai,INSTER,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,97.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,19390.0
Suzuki,SX4 S-Cross,2025.0,1.0,Υβριδικό Βενζίνης,Χειροκίνητο,1400.0,129.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,22680.0
Hyundai,i 30,2025.0,1.0,Βενζίνη,Χειροκίνητο,1500.0,110.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,21590.0
Hyundai,Tucson,2025.0,1.0,Υβριδικό Βενζίνης,Χειροκίνητο,1600.0,215.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,30590.0
Hyundai,i 20,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,79.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,18590.0
Hyundai,i 10,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,67.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,16690.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,72.0,16750.0,Μεταχειρισμένο,ΚΑΛΛΙΘΕΑ 17673,17300.0
Ford,Explorer,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,170.0,5600.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,30990.0
Ford,Explorer,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,286.0,3400.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,37499.0
Ford,Ranger,2025.0,1.0,Πετρέλαιο,Αυτόματο,3000.0,240.0,19890.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,49990.0
Ford,Ranger,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2300.0,281.0,12500.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,44990.0
Ford,Transit,2025.0,1.0,Πετρέλαιο,Χειροκίνητο,2000.0,130.0,0.0,Καινούργιο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,32990.0
Ford,Ranger,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,210.0,0.0,Καινούργιο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,47946.0
Ford,Mustang,2025.0,1.0,Βενζίνη,Χειροκίνητο,5000.0,454.0,4060.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,88990.0
Ford,Kuga,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,186.0,16230.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,27990.0
Peugeot,208,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,110.0,19619.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15125,19900.0
MG,ZS,2025.0,1.0,Βενζίνη,Χειροκίνητο,1500.0,105.0,8863.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15125,16850.0
MG,ZS,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,197.0,11271.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15125,20500.0
Audi,Q3,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,150.0,10500.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,34900.0
Mercedes-Benz,Vito,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,163.0,24000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,58500.0
Toyota,Corolla Cross,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,140.0,23700.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,34900.0
Peugeot,208,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,100.0,5200.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,19700.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,9056.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,18900.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,12500.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,18900.0
Peugeot,208,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1200.0,110.0,12520.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,19700.0
Peugeot,208,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,13000.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,16900.0
Peugeot,208,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,14600.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,16800.0
Peugeot,2008,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,157.0,100.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,32950.0
MG,MG5,2025.0,1.0,Ηλεκτρικό,Χειροκίνητο,,156.0,10600.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,22800.0
Tesla,Model 3,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,441.0,35.0,Καινούργιο,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ 17341,46500.0
Isuzu,D-Max,2026.0,0.0,Πετρέλαιο,Αυτόματο,1900.0,163.0,0.0,Καινούργιο,ΑΥΛΩΝΑ 19011,35300.0
Seat,Ibiza,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,95.0,0.0,Καινούργιο,ΑΥΛΩΝΑ 19011,16900.0
Citroen,C5 Aircross,2025.0,1.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,4700.0,Μεταχειρισμένο,ΠΑΛΑΙΑ ΠΕΝΤΕΛΗ 15236,28500.0
BMW,XM,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,4400.0,473.0,30.0,Καινούργιο,ΑΘΗΝΑ 11636,159850.0
Kia,Stonic,2026.0,0.0,Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,19990.0
Kia,Xceed,2026.0,0.0,Υβριδικό Βενζίνης,Αυτόματο,1000.0,115.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,23990.0
Kia,Sportage,2026.0,0.0,Υβριδικό Πετρελαίου,Αυτόματο,1600.0,136.0,0.0,Καινούργιο,ΕΛΕΥΣΙΝΑ 19200,33490.0
Renault,Clio,2026.0,0.0,Βενζίνη,Χειροκίνητο,1200.0,115.0,0.0,Καινούργιο,ΠΕΙΡΑΙΑΣ 18542,21150.0
Toyota,Yaris,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,3000.0,Μεταχειρισμένο,ΚΑΛΛΙΘΕΑ 17674,23700.0
Toyota,Yaris,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,10800.0,Μεταχειρισμένο,ΚΑΛΛΙΘΕΑ 17674,23200.0
Nissan,Juke,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,115.0,10170.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,20490.0
Nissan,Juke,2025.0,1.0,Βενζίνη,Χειροκίνητο,1000.0,114.0,7398.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,20490.0
Nissan,Juke,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,114.0,9587.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,22490.0
Mercedes-Benz,E 300,2025.0,1.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,313.0,17100.0,Μεταχειρισμένο,ΠΑΛΛΗΝΗ 15351,75000.0
Skoda,Kamiq,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,116.0,3910.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,22900.0
Audi,A1,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,116.0,22684.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,24900.0
Skoda,Fabia,2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,116.0,2811.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,19900.0
LandRover,Range Rover Velar,2025.0,1.0,Υβριδικό Πετρελαίου,Αυτόματο,3000.0,300.0,22000.0,Μεταχειρισμένο,ΠΕΙΡΑΙΑΣ 18532,80999.0
Mercedes-Benz,Vito,2025.0,1.0,Πετρέλαιο,Αυτόματο,2000.0,163.0,18119.0,Μεταχειρισμένο,ΚΟΡΩΠΙ 19400,58700.0
Aston Martin,DBX,2025.0,1.0,Βενζίνη,Αυτόματο,4000.0,707.0,7400.0,Μεταχειρισμένο,ΗΛΙΟΥΠΟΛΗ 16346,309000.0
Bentley,Continental GT,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,4000.0,519.0,2000.0,Μεταχειρισμένο,ΗΛΙΟΥΠΟΛΗ 16346,333000.0
Smart,#1,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,428.0,10900.0,Μεταχειρισμένο,ΗΛΙΟΥΠΟΛΗ 16346,46900.0
Suzuki,Vitara,2025.0,1.0,Υβριδικό Βενζίνης,Χειροκίνητο,1400.0,110.0,0.0,Καινούργιο,ΝΕΟ ΨΥΧΙΚΟ 15451,20580.0
Suzuki,Swift,2025.0,1.0,Υβριδικό Βενζίνης,Χειροκίνητο,1200.0,83.0,0.0,Καινούργιο,ΝΕΟ ΨΥΧΙΚΟ 15451,16990.0
Suzuki,e Vitara,2026.0,0.0,Ηλεκτρικό,Αυτόματο,,144.0,0.0,Καινούργιο,ΝΕΟ ΨΥΧΙΚΟ 15451,29670.0
Peugeot,208,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1200.0,100.0,4803.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17456,19990.0
