Κατασκευαστής,Count,Mean_Actual_Price,Mean_Predicted_Price,MAE,RMSE,R2,MedAE,Bias,MAPE_%
Porsche,31,125236.7741935484,125667.65,14501.578629032258,23340.761338978704,0.8716684687376788,8629.3359375,-430.87449596774195,10.049209234617097
BMW,135,56582.822222222225,56016.594,7064.445095486111,11820.031081895244,0.9151571117340708,4258.35546875,566.2283420138889,12.341247099394531
Mercedes-Benz,195,58151.44102564103,57533.996,7270.659004407052,11026.406578439215,0.8896631202790877,4767.1796875,617.4395733173077,13.709163141933722
LandRover,47,70375.29787234042,69204.16,8282.007563164894,10615.575187693208,0.8970122259572157,6212.98046875,1171.147855718085,16.386776024731095
Audi,61,49123.60655737705,48558.75,5503.181672643443,8834.200260071062,0.9445094431862743,2938.681640625,564.8520107581967,10.262232948278713
Volkswagen,88,23702.761363636364,23531.98,4279.6917280717325,7416.564623271306,0.3294222737171426,2221.908203125,170.78043989701703,16.67587012428249
Ford,84,24296.869047619046,25740.066,3430.5508858816966,6833.814898616041,0.7151041181346569,1499.24560546875,-1443.196021670387,12.023633990849035
Volvo,28,33996.78571428572,35252.098,3524.080008370536,5544.6466394635945,0.5996187787259482,2157.744140625,-1255.311732700893,10.523560960079784
Jeep,45,30912.222222222223,31119.684,3678.3036024305557,5503.068642587164,0.9410656420869546,2390.6015625,-207.4603732638889,11.03321766616402
MG,28,20413.928571428572,21731.19,3377.2801339285716,4258.974424811892,0.27183308971311626,3315.080078125,-1317.261439732143,16.13533304168968
Toyota,108,21471.185185185186,21165.064,2743.415870949074,4240.214443749506,0.8405862831907842,1794.51806640625,306.1199001736111,11.927115117352969
Mini,40,28393.675,29286.293,2989.0649169921876,3914.91003788869,0.782792355039632,2303.5751953125,-892.6213134765625,11.364693172346172
Renault,36,17898.583333333332,18579.719,2555.8443196614585,3860.8319550907017,0.48206678505055567,1952.6064453125,-681.1369086371528,13.42801288636822
Suzuki,36,18337.777777777777,18571.342,2118.5885145399307,3764.80656736954,0.39113791560954847,1416.4873046875,-233.563232421875,10.268151978542766
Skoda,43,22113.441860465115,22662.352,2218.976085574128,3152.382810761562,0.7888014770221845,1659.451171875,-548.9087254723837,9.698380024708102
Hyundai,47,20601.042553191488,21086.064,2237.5035322473404,3112.371469401855,0.7506252538133811,1701.1328125,-485.0242270611702,10.336377441368267
Dacia,28,17358.928571428572,16542.564,2472.8842424665177,3074.9510786893093,0.23892251103669215,1987.47998046875,816.3642229352679,13.550181080379945
Kia,34,18797.352941176472,18904.957,1743.1769875919117,2834.5604806912493,0.8662222320621991,1111.080078125,-107.60546875,8.214677478400427
Peugeot,171,19544.415204678364,19010.18,1911.5703867415937,2831.90465123937,0.8006684326090932,1403.744140625,534.2348261604532,9.3234395169539
Opel,103,15318.825242718447,16129.461,1859.5958168992718,2634.9463220591215,0.5681234794486851,1335.9755859375,-810.6344243021845,11.807444302685546
Fiat,46,14806.173913043478,16387.332,1847.0949388586957,2431.053256299744,0.6962346911605228,1560.05126953125,-1581.1584154211957,13.720929454656442
Citroen,88,14449.988636363636,15540.025,1663.7657470703125,2079.961869477057,0.8098015608892406,1424.203125,-1090.0362548828125,14.737195576957648
Nissan,29,20768.58620689655,20947.744,1618.5313846982758,1996.7338604638292,0.8837493074780339,1426.71484375,-179.15813577586206,8.042825755848366
