Transformed_Feature,Mean_Abs_SHAP
num__Ιπποδύναμη,10166.431
num__Κυβικά,8347.483
num__Χιλιόμετρα,2495.497
cat__Κατασκευαστής_Mercedes-Benz,1570.9751
num__Ηλικία,1495.4739
cat__Κατασκευαστής_Porsche,567.336
cat__Μετάδοση_Χειροκίνητο,537.70844
cat__Καύσιμο_Πετρέλαιο,438.8505
cat__Μετάδοση_Αυτόματο,422.88583
cat__Κατασκευαστής_LandRover,400.09286
cat__Καύσιμο_Υβριδικό Πετρελαίου,306.1288
cat__Κατασκευαστής_BMW,272.84503
cat__Τύπος_GLE 350,239.8997
cat__Περιοχή_ΠΕΙΡΑΙΑΣ 18532,206.31425
cat__Τύπος_Range Rover,168.32713
cat__Κατασκευαστής_Audi,166.91122
cat__Κατασκευαστής_Tesla,165.85919
cat__Καύσιμο_Ηλεκτρικό,162.53427
cat__Καύσιμο_Βενζίνη,149.58002
cat__Καύσιμο_Plug-in Hybrid Βενζίνης,107.04708
cat__Τύπος_911,105.976776
cat__Κατασκευαστής_Ford,100.504974
cat__Τύπος_G 350,92.746826
cat__Κατασκευαστής_Lamborghini,87.53972
cat__Περιοχή_ΚΟΡΩΠΙ 19400,86.76786
cat__Τύπος_G 63 AMG,85.150345
cat__Κατασκευαστής_MG,71.26279
cat__Καύσιμο_Plug-in Hybrid Πετρελαίου,66.36167
cat__Περιοχή_ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ 14565,61.93305
cat__Κατασκευαστής_Volvo,56.310516
cat__Τύπος_Range Rover Sport,54.027428
cat__Τύπος_992,51.036243
cat__Κατασκευαστής_Citroen,49.87136
cat__Τύπος_X5,44.607994
cat__Καύσιμο_Υβριδικό Βενζίνης,40.06135
cat__Τύπος_AMG GT,37.878674
cat__Τύπος_C 300,37.246574
cat__Περιοχή_ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,35.730743
cat__Τύπος_iX,34.64422
cat__Κατασκευαστής_Jaguar,31.04232
cat__Τύπος_Model 3,30.772327
cat__Τύπος_XC 90,30.693098
cat__Περιοχή_ΕΚΑΛΗ 14578,29.013983
cat__Τύπος_Taycan,27.836266
cat__Περιοχή_ΝΕΑ ΕΡΥΘΡΑΙA 14671,23.379606
cat__Τύπος_Gladiator,23.131691
cat__Κατασκευαστής_Maserati,22.468857
cat__Τύπος_XC 60,21.002668
cat__Τύπος_X2,20.211498
cat__Τύπος_SL 43 AMG,18.392977
cat__Τύπος_Cayenne,17.077196
cat__Τύπος_Wrangler,16.642542
cat__Τύπος_GLC 300,15.927391
cat__Τύπος_XM,15.850132
cat__Κατασκευαστής_Mini,15.417774
cat__Τύπος_SF90,15.316254
cat__Κατασκευαστής_Bentley,14.808669
cat__Τύπος_EX30,14.746712
cat__Τύπος_V 250,13.587351
cat__Κατασκευαστής_Volkswagen,13.545567
cat__Τύπος_C3,13.193691
cat__Τύπος_Vito,11.854015
cat__Τύπος_SL 63 AMG,11.73913
cat__Τύπος_Q3,10.93892
cat__Τύπος_Tiguan,10.935543
cat__Τύπος_X1,10.920954
cat__Τύπος_GLE 300,10.567066
cat__Κατασκευαστής_Toyota,9.24339
cat__Τύπος_Aygo (X),9.066505
cat__Τύπος_M2,9.02462
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12136,9.008013
cat__Περιοχή_ΒΟΥΛΑ 16673,9.004137
cat__Περιοχή_ΚΗΦΙΣΙΑ 14563,8.813016
cat__Περιοχή_ΝΕΟ ΗΡΑΚΛΕΙΟ 14122,8.792103
cat__Τύπος_X6,8.404134
cat__Τύπος_e-tron GT,8.048644
cat__Περιοχή_ΜΕΤΑΜΟΡΦΩΣΗ 14451,7.722839
cat__Περιοχή_ΜΕΓΑΡΑ 19100,7.5367846
cat__Τύπος_Cooper S,7.20105
cat__Τύπος_Corsa,7.042759
cat__Τύπος_X7,6.884122
cat__Τύπος_V60,6.843656
cat__Περιοχή_ΝΕΟ ΗΡΑΚΛΕΙΟ 14121,6.1742516
cat__Περιοχή_ΒΡΙΛΗΣΣΙΑ 15235,6.1122036
cat__Τύπος_X3,6.068087
cat__Κατασκευαστής_Opel,5.9724455
cat__Περιοχή_ΚΗΦΙΣΙΑ 14564,5.85862
cat__Τύπος_EQE,5.703803
cat__Τύπος_Defender,5.585185
cat__Περιοχή_ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15343,5.5782857
cat__Τύπος_M5,5.3103614
cat__Τύπος_Ranger,5.2144814
cat__Κατασκευαστής_Jeep,5.2079334
cat__Περιοχή_ΑΘΗΝΑ 11636,5.108877
cat__Περιοχή_ΜΑΡΟΥΣΙ 15124,4.9371147
cat__Τύπος_3008,4.853155
cat__Κατασκευαστής_Peugeot,4.8199086
cat__Τύπος_G 400,4.6342454
cat__Τύπος_MC20,4.1570125
cat__Τύπος_A 250,4.1317506
cat__Περιοχή_ΚΑΛΛΙΘΕΑ 17671,3.9931388
cat__Περιοχή_ΑΛΙΜΟΣ 17455,3.9384406
cat__Τύπος_RS3,3.858517
cat__Κατασκευαστής_Ferrari,3.7339506
cat__Περιοχή_ΚΗΦΙΣΙΑ 14561,3.7152545
cat__Τύπος_V 220,3.5317411
cat__Περιοχή_ΓΛΥΦΑΔΑ 16675,3.4017153
cat__Τύπος_F-Pace,3.359967
cat__Τύπος_Macan,3.2743561
cat__Τύπος_GLE Coupe,3.2635632
cat__Τύπος_RS e-tron GT,3.2174606
cat__Περιοχή_ΚΑΛΥΒΙΑ ΘΟΡΙΚΟΥ-ΛΑΓΟΝΗΣΙ 19010,3.2010562
cat__Τύπος_330,3.1494436
cat__Τύπος_M240i,3.1038313
cat__Τύπος_A 35 AMG,3.0712705
cat__Τύπος_Golf,2.9979115
cat__Τύπος_Range Rover Velar,2.9410605
cat__Περιοχή_ΓΛΥΦΑΔΑ 16674,2.885958
cat__Τύπος_Yaris Cross,2.768598
cat__Τύπος_Mustang,2.740018
cat__Τύπος_Cayman,2.6254218
cat__Τύπος_Range Rover Evoque,2.5678625
cat__Περιοχή_ΚΕΡΑΤΣΙΝΙ 18758,2.5291076
cat__Τύπος_116,2.5125651
cat__Τύπος_S 350,2.488324
cat__Περιοχή_ΑΙΑΝΤΕΙΟ 18903,2.333125
cat__Τύπος_M4,2.3324108
