price_segment,make,n_observations,share_pct,display_count,display_share,dimension,source_table
Χαμηλή,Mercedes-Benz,6,0.46,6,0.46%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Peugeot,262,20.14,262,20.14%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,BMW,0,0.0,0,0.00%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Toyota,143,10.99,143,10.99%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Opel,326,25.06,326,25.06%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Volkswagen,65,5.0,65,5.00%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Citroen,293,22.52,293,22.52%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Ford,74,5.69,74,5.69%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Audi,3,0.23,3,0.23%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλή,Hyundai,129,9.92,129,9.92%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Mercedes-Benz,45,3.24,45,3.24%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Peugeot,371,26.73,371,26.73%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,BMW,49,3.53,49,3.53%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Toyota,210,15.13,210,15.13%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Opel,135,9.73,135,9.73%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Volkswagen,191,13.76,191,13.76%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Citroen,113,8.14,113,8.14%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Ford,156,11.24,156,11.24%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Audi,45,3.24,45,3.24%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Χαμηλομεσαία,Hyundai,73,5.26,73,5.26%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Mercedes-Benz,194,15.1,194,15.10%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Peugeot,215,16.73,215,16.73%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,BMW,221,17.2,221,17.20%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Toyota,124,9.65,124,9.65%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Opel,37,2.88,37,2.88%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Volkswagen,171,13.31,171,13.31%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Citroen,25,1.95,25,1.95%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Ford,76,5.91,76,5.91%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Audi,157,12.22,157,12.22%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Μεσοϋψηλή,Hyundai,65,5.06,65,5.06%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Mercedes-Benz,644,49.58,644,49.58%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Peugeot,19,1.46,19,1.46%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,BMW,350,26.94,350,26.94%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Toyota,33,2.54,33,2.54%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Opel,4,0.31,4,0.31%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Volkswagen,33,2.54,33,2.54%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Citroen,1,0.08,1,0.08%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Ford,59,4.54,59,4.54%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
Υψηλή,Audi,153,11.78,153,11.78%,make,notebook6_top10_make_by_segment_counts_corrected + notebook6_top10_make_by_segment_shares_corrected
