card_id,section_id,card_scope,price_segment,component_type,card_order,kpi_id,kpi_label_el,group,source_metric,raw_value,display_value,value_type,source_table
card_market_market_n_observations,market_overview,market,ALL,kpi_card,1,market_n_observations,Συνολικός αριθμός παρατηρήσεων,Μέγεθος αγοράς,n_observations,8296.0,"8,296",integer,notebook5_market_overview
card_market_market_n_variables,market_overview,market,ALL,kpi_card,2,market_n_variables,Συνολικός αριθμός μεταβλητών,Δομή δεδομένων,n_variables,12.0,12,integer,notebook5_market_overview
card_market_market_n_unique_makes,market_overview,market,ALL,kpi_card,3,market_n_unique_makes,Διακριτοί κατασκευαστές,Ποικιλία αγοράς,n_unique_makes,71.0,71,integer,notebook5_market_overview
card_market_market_n_unique_models,market_overview,market,ALL,kpi_card,4,market_n_unique_models,Διακριτά μοντέλα,Ποικιλία αγοράς,n_unique_models,554.0,554,integer,notebook5_market_overview
card_market_market_n_unique_regions,market_overview,market,ALL,kpi_card,5,market_n_unique_regions,Διακριτές περιοχές,Γεωγραφική κάλυψη,n_unique_regions,276.0,276,integer,notebook5_market_overview
card_market_market_median_price,market_overview,market,ALL,kpi_card,6,market_median_price,Διάμεση τιμή,Τιμή,median_price,22000.0,"€22,000",currency,notebook5_market_overview
card_market_market_mean_price,market_overview,market,ALL,kpi_card,7,market_mean_price,Μέση τιμή,Τιμή,mean_price,33280.19587753134,"€33,280",currency,notebook5_market_overview
card_market_market_median_mileage,market_overview,market,ALL,kpi_card,8,market_median_mileage,Διάμεση χιλιομετρική κάλυψη,Χρήση οχήματος,median_mileage,50019.5,"50,020 km",mileage,notebook5_market_overview
card_market_market_median_age,market_overview,market,ALL,kpi_card,9,market_median_age,Διάμεση ηλικία,Χρήση οχήματος,median_age,4.0,4.0 έτη,age,notebook5_market_overview
card_market_market_median_horsepower,market_overview,market,ALL,kpi_card,10,market_median_horsepower,Διάμεση ιπποδύναμη,Τεχνικά χαρακτηριστικά,median_horsepower,130.0,130 hp,horsepower,notebook5_market_overview
card_market_market_median_engine_size,market_overview,market,ALL,kpi_card,11,market_median_engine_size,Διάμεσος κυβισμός,Τεχνικά χαρακτηριστικά,median_engine_size,1500.0,"1,500 cc",engine_size,notebook5_market_overview
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_n_observations,segment_profile,segment,Μεσοϋψηλή,kpi_card,1,segment_Μεσοϋψηλή_n_observations,Αριθμός παρατηρήσεων,Μέγεθος segment,n_observations,2069.0,"2,069",integer,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_share_pct,segment_profile,segment,Μεσοϋψηλή,kpi_card,2,segment_Μεσοϋψηλή_share_pct,Ποσοστό συμμετοχής,Μέγεθος segment,share_pct,24.94,24.94%,percentage,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_median_horsepower,segment_profile,segment,Μεσοϋψηλή,kpi_card,3,segment_Μεσοϋψηλή_median_horsepower,Διάμεση ιπποδύναμη,Τεχνικά χαρακτηριστικά,median_horsepower,155.0,155 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_median_engine_size,segment_profile,segment,Μεσοϋψηλή,kpi_card,4,segment_Μεσοϋψηλή_median_engine_size,Διάμεσος κυβισμός,Τεχνικά χαρακτηριστικά,median_engine_size,1500.0,"1,500 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_mean_horsepower,segment_profile,segment,Μεσοϋψηλή,kpi_card,5,segment_Μεσοϋψηλή_mean_horsepower,Μέση ιπποδύναμη,Τεχνικά χαρακτηριστικά,mean_horsepower,179.65,180 hp,horsepower,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_mean_engine_size,segment_profile,segment,Μεσοϋψηλή,kpi_card,6,segment_Μεσοϋψηλή_mean_engine_size,Μέσος κυβισμός,Τεχνικά χαρακτηριστικά,mean_engine_size,1519.62,"1,520 cc",engine_size,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_median_price,segment_profile,segment,Μεσοϋψηλή,kpi_card,7,segment_Μεσοϋψηλή_median_price,Διάμεση τιμή,Τιμή,median_price,27300.0,"€27,300",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
card_segment_μεσοyψηλi_segment_Μεσοϋψηλή_mean_price,segment_profile,segment,Μεσοϋψηλή,kpi_card,8,segment_Μεσοϋψηλή_mean_price,Μέση τιμή,Τιμή,mean_price,27571.9,"€27,572",currency,notebook5_price_segment_counts + notebook5_segment_profile_summary
